Edimilson Fernandes,Edimilson Fernandes
Roque Mesa,Roque Mesa
Luciano Narsingh,Luciano Narsingh
Islam Slimani,Islam Slimani
Gareth Barry,Gareth Barry
José Fonte,Jose Fonte
Ragnar Klavan,Ragnar Klavan
Tiemoué Bakayoko,Tiemoué Bakayoko
Muhamed Bešić,Muhamed Besic
André Carrillo,Andre Carrillo
Liam Rosenior,Liam Rosenior
Yohan Cabaye,Yohan Cabaye
Lee Chung-yong,Chung-Yong Lee
Sam Clucas,Sam Clucas
Àngel Rangel,Angel Rangel
Mike van der Hoorn,Mike van der Hoorn
James Collins,James Collins
Oliver Burke,Oliver Burke
James Morrison,James Morrison
Marko Grujić,Marko Grujic
Loris Karius,Loris Karius
Nikola Vlašić,Nikola Vlasic
Grzegorz Krychowiak,Grzegorz Krychowiak
Kieran Gibbs,Kieran Gibbs
Renato Sanches,Renato Sanches
Jesús Gámez,Jesus Gamez
Scott Malone,Scott Malone
Glen Johnson,Glen Johnson
Molla Wagué,Molla Wague
Dean Whitehead,Dean Whitehead
Damien Delaney,Damien Delaney
Yaya Touré,Yaya Toure
Nathan Dyer,Nathan Dyer
Per Mertesacker,Per Mertesacker
Uwe Hünemeier,Uwe Hunemeier
Gareth McAuley,Gareth McAuley
Boaz Myhill,Boaz Myhill
Charlie Adam,Charlie Adam
Orestis Karnezis,Orestis Karnezis
Jérémy Pied,Jeremy Pied
Leonardo Ulloa,Leonardo Ulloa
Henri Saivet,Henri Saivet
Connor Goldson,Connor Goldson
Nahki Wells,Nahki Wells
Yannick Bolasie,Yannick Bolasie
Aleksandar Dragović,Aleksandar Dragovic
Stephen Ireland,Stephen Ireland
Reiss Nelson,Reiss Nelson
Guido Carrillo,Guido Carrillo
David Ospina,David Ospina
Dodi Lukebakio,Dodi Lukebakio
Michael Carrick,Michael Carrick
Josh Cullen,Josh Cullen
Ramiro Funes Mori,Ramiro Funes Mori
Ben Woodburn,Ben Woodburn
Massadio Haïdara,Massadio Haidara
Nordin Amrabat,Nordin Amrabat
Kevin Mirallas,Kevin Mirallas
Oliver McBurnie,Oliver McBurnie
Jay Fulton,Jay Fulton
Charly Musonda Jr.,Charly Musonda
Jamie Murphy,Jamie Murphy
André Ayew,Andre Ayew
Diafra Sakho,Diafra Sakho
Francis Coquelin,Francis Coquelin
Philippe Coutinho,Philippe Coutinho
Freddie Ladapo,Freddie Ladapo
Martin Cranie,Martin Cranie
Zlatan Ibrahimović,Zlatan Ibrahimovic
Rolando Aarons,Rolando Aarons
Joe Lolley,Joe Lolley
Danny Ward,Danny Carl Ward
Javier Hernández,Javier Chicharito Hernandez
Ben Johnson,Glen Johnson
Mame Biram Diouf,Mame Diouf
Allan Nyom,Allan-Romeo Nyom
